country_name_short,country_name,election_type,election_date,vote_share,seats,seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,previous_parliament_election_id,previous_cabinet_id,party_id,party_name_ascii,family_name_short,family_name,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,family_id
AUS,Australia,parliament,2013-09-07,32.02,58.0,150,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,804,246.0,1061.0,1411,Liberal Party of Australia,con,Conservative,8.4211,6.9825,7.8,63620.0,,,103.0,205.0,,4757.0,,26
AUS,Australia,parliament,2013-09-07,33.38,55.0,150,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,804,246.0,1061.0,1253,Australian Labor Party,soc,Social democracy,4.0351,3.2632,8.1,63320.0,,,101.0,,,4721.0,,11
AUS,Australia,parliament,2013-09-07,8.92,22.0,150,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,6.0,33,804,246.0,1061.0,154,Liberal National Party of Queensland,lib,Liberal,6.7,3.5,8.7,,,,,,,,,6
AUS,Australia,parliament,2013-09-07,4.29,9.0,150,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,804,246.0,1061.0,184,National (Country) Party | National Party of Australia,con,Conservative,6.2456,8.4561,7.8,63810.0,,,104.0,206.0,,4775.0,,26
AUS,Australia,parliament,2013-09-07,1.37,2.0,150,none,no party affiliation,no party affiliation,,33,804,246.0,1061.0,1396,no party affiliation,none,no family,,,,,,,,,,,,12
AUS,Australia,parliament,2013-09-07,0.32,1.0,150,CouLP,Country Liberal Party,Country Liberal Party,6.0,33,804,246.0,1061.0,215,Country Liberal Party,lib,Liberal,6.7,3.5,8.7,,,,,,,,,6
AUS,Australia,parliament,2013-09-07,8.65,1.0,150,AG,Australian Greens,Australian Greens,1.5439,33,804,246.0,1061.0,751,Australian Greens,eco,Green/Ecologist,1.2982,0.5614,6.5,,,,,,,4739.0,,19
AUS,Australia,parliament,2013-09-07,1.04,1.0,150,Katter,Katter's Australian Party,Katter's Australian Party,3.3,33,804,246.0,1061.0,2258,Katter's Australian Party,soc,Social democracy,3.5,3.5,8.1,,,,,,,,,11
AUS,Australia,parliament,2013-09-07,5.49,1.0,150,PUP,Palmer United Party,Palmer United Party,6.0,33,804,246.0,1061.0,2259,Palmer United Party,lib,Liberal,6.7,3.5,8.7,,,,,,,,,6
AUS,Australia,parliament,2013-09-07,1.41,0.0,150,FFP,Family First Party,Family First Party,7.4,33,804,246.0,1061.0,446,Family First Party,con,Conservative,6.4,6.9,7.8,,,,,,,,,26
